Title,Description,"Gift Type (1 = GIFT, 2 = VOUCHER)",Point,Image URL
TMC Hand Trowel with Strong Metal Blade and Wooden Handle | Karni/Kanni | Mason Tools for Plaster - (29x11),TMC Hand Trowel with Strong Metal Blade and Wooden Handle | Karni/Kanni | Mason Tools for Plaster - (29x11),1,710,https://m.media-amazon.com/images/I/51KlR4BqnIL._SY741_.jpg
GJSHOP Enhance Your Workout with Spider Protein Shaker - 2 Storage Compartments - 500ML Sports Bottle (Multicolor),GJSHOP Enhance Your Workout with Spider Protein Shaker - 2 Storage Compartments - 500ML Sports Bottle (Multicolor),1,770,https://m.media-amazon.com/images/I/51vhquCubWL._SX569_.jpg
Panchtatava Gym Bag | Trekking Bag | Travel Bag | Sports Duffel Bag | Duffle Carry Bag-15 L -Black,Panchtatava Gym Bag | Trekking Bag | Travel Bag | Sports Duffel Bag | Duffle Carry Bag-15 L -Black,1,720,https://m.media-amazon.com/images/I/51NeDghNquS._SX569_.jpg
Sumeet Airtight & Leak Proof Steelexo S.S. Container/Lunch Box with Stainless Steel Lid Set of 2Pcs (300Ml Each),Sumeet Airtight & Leak Proof Steelexo S.S. Container/Lunch Box with Stainless Steel Lid Set of 2Pcs (300Ml Each),1,1750,https://m.media-amazon.com/images/I/71jdkF+CzeL._SX569_.jpg
"La Opala Diva, Classique Collection, Opal Glass Quarter Plate Set 6 pcs, Aster Blue, White, Standard","La Opala Diva, Classique Collection, Opal Glass Quarter Plate Set 6 pcs, Aster Blue, White, Standard",1,1400,https://m.media-amazon.com/images/I/71b-FhwPW4L._SX569_.jpg
Cello Puro Steel-X Benz 900 | Leak Proof| Wide Mouth & Easy to Open | Insulated Inner Steel Water Bottle | 730ml | Black,Cello Puro Steel-X Benz 900 | Leak Proof| Wide Mouth & Easy to Open | Insulated Inner Steel Water Bottle | 730ml | Black,1,1120,https://m.media-amazon.com/images/I/31zz15681EL._SY300_SX300_QL70_FMwebp_.jpg
URBAN FOREST Oliver Aniline Blue Leather Wallet for Men,URBAN FOREST Oliver Aniline Blue Leather Wallet for Men,1,1670,https://m.media-amazon.com/images/I/91m9g2qfSeL._SX522_.jpg
Pick Ur Needs Solar Rechargeable Emergency Light 42 SMD Home Emergency Light Lantern Lamp,Pick Ur Needs Solar Rechargeable Emergency Light 42 SMD Home Emergency Light Lantern Lamp,1,1580,https://m.media-amazon.com/images/I/81uC3LKxiLL._SX425_.jpg
"MILTON Shine 1000 Stainless Steel Water Bottle, 900 ml water bottles, Single walled, Leak-Proof, Rust-free Steel Bottle, Easy Grip, Easy to Carry, Travel Bottle, Silver","MILTON Shine 1000 Stainless Steel Water Bottle, 900 ml water bottles, Single walled, Leak-Proof, Rust-free Steel Bottle, Easy Grip, Easy to Carry, Travel Bottle, Silver",1,1090,https://m.media-amazon.com/images/I/51eUYE+WmWL._SX569_.jpg
Pigeon Aluminium Nonstick Duo Pack Flat Tawa 250 and Fry Pan 200 Gift Set (Red),Pigeon Aluminium Nonstick Duo Pack Flat Tawa 250 and Fry Pan 200 Gift Set (Red),1,1650,https://m.media-amazon.com/images/I/510yXR4GoNL._SX569_.jpg
"Colorish Cotton Blend Traditional Mandala Jaipuri Printed Bedsheet for Double Bed King Size with 2 Pillow Covers, Sea Green| H603 | 120 TC","Colorish Cotton Blend Traditional Mandala Jaipuri Printed Bedsheet for Double Bed King Size with 2 Pillow Covers, Sea Green| H603 | 120 TC",1,1390,https://m.media-amazon.com/images/I/91tBcZOZ9HL._SX569_.jpg
Prestige 1.5 litre PKOSS Stainless Steel Electric Kettle | 1350 Watts| Elegant Design | Cool-touch Handle and Lid | Automatic Cut-Off and Single-Touch Lid Locking. | Silver,Prestige 1.5 litre PKOSS Stainless Steel Electric Kettle | 1350 Watts| Elegant Design | Cool-touch Handle and Lid | Automatic Cut-Off and Single-Touch Lid Locking. | Silver,1,1900,https://m.media-amazon.com/images/I/51Q11RNy8dL._SX569_.jpg
"BSB HOMEA® Mink Blanket for Double Bed 1.9 kg Blanket | Ultrasoft & Lightweight Solid Blanket for Winter & Mild Winter Sofa, Couch - Double, 90x88 inches - 1.9 kg | Grey & Silver","BSB HOMEA® Mink Blanket for Double Bed 1.9 kg Blanket | Ultrasoft & Lightweight Solid Blanket for Winter & Mild Winter Sofa, Couch - Double, 90x88 inches - 1.9 kg | Grey & Silver",1,1930,https://m.media-amazon.com/images/I/61Lr-D+3cyL._SX569_.jpg
"Robustt Steel Toe Lightweight Gum Boots | Standard Steel Safety Shoes | Anti Slip, Waterpoof | Breathable Printed Leather Shoes | Puncture and Tear Resistant | For Industrial Use (Yellow)","Robustt Steel Toe Lightweight Gum Boots | Standard Steel Safety Shoes | Anti Slip, Waterpoof | Breathable Printed Leather Shoes | Puncture and Tear Resistant | For Industrial Use (Yellow)",1,2100,https://m.media-amazon.com/images/I/71jXHfxx0GL._SY535_.jpg
