order_id,"status (0=PENDING, 1=ORDER PLACED, 2 = DELIVERED, 3= UNDELIVERED, 4= REJECT)","remarks(not mandatory) 1=Order confirmation not received, 2=Address Confirmation not received, 3=Product Unavailability & Alternatives, 4=Customer not answering the call,5=Wrong/incomplete delivery address, 6=Wrong mobile number",order_tracking_url,tracking_ord_id,delivery_date
SS00003501,2,,,,03-05-2026
SS00003497,2,,,,06-05-2026
SS00003496,2,,,,14-05-2026
SS00003495,2,,,,05-05-2026
SS00003484,2,,,,08-05-2026
SS00003482,2,,,,18-05-2026
SS00003480,2,,,,06-05-2026
SS00003479,2,,,,16-05-2026
SS00003476,2,,,,14-05-2026
SS00003469,2,,,,05-05-2026
SS00003466,2,,,,13-05-2026
SS00003465,2,,,,14-05-2026
SS00003462,2,,,,13-05-2026
SS00003460,2,,,,15-05-2026
SS00003459,2,,,,08-05-2026
SS00003458,2,,,,13-05-2026
SS00003455,2,,,,03-05-2026
SS00003453,2,,,,08-05-2026
SS00003447,2,,,,07-05-2026
SS00003442,2,,,,03-05-2026
SS00003413,2,,,,09-05-2026
SS00003407,2,,,,04-05-2026
SS00003394,2,,,,04-05-2026
SS00003390,2,,,,11-05-2026
SS00003388,2,,,,15-05-2026
SS00003371,2,,,,06-05-2026
